Word,Count
*,1310
the,480
,332
to,287
a,242
this,235
that,216
is,184
method,168
de,164
-,129
do,107
obter,105
data,105
be,104
for,102
jogador,101
page,99
called,96
and,93
will,90
as,89
bean,84
@return,82
reference,81
scoped,81
in,77
initialization,74
of,71
components,70
managed,70
or,69
informações,63
=,63
event,60
resources,59
software,58
your,57
Tools,57
@param,56
on,56
dos,54
if,53
code,53
here,52
request,52
This,51
was,51
o,51
<p>Callback,50
Perform,48
Customize,48
by,46
add,45
new,44
application,44
<p>Return,43
any,43
os,43
bean.</p>,42
cartas,42
set,41
e,41
component,38
editor,38
|,38
change,38
To,38
template,38
open,38
values,38
choose,38
\template,\,38
Templates,38
are,37
rendering,37
Localização,36
engenheiro,34
\defaultstate="\collapsed"\\,34
<editor-fold,34
</editor-fold>,34
TODO,33
own,33
automatically,33
Component,33
initialized,32
complete,32
must,32
Atores:,32
\desc="\Managed\,31
not,31
where,30
um,30
jogo,30
@version,30
movimentos,29
from,28
represent,27
por,27
projeto,27
movimento,27
session,27
required,27
with,27
you,26
after,26
allocate,26
when,26
via,26
engenheiros,26
methods,26
{,25
navigation,25
acquired,25
@author,25
},25
navigated,25
Hibernate,25
property,24
lifecycle,24
whether,24
Recursos:,24
Elizabeth,24
takes,24
handlers,24
processing,24
place,24
before,24
<strong>only</strong>,24
actually,24
postback,24
session.close();,23
no,23
para,22
class,22
(and,22
jogadores,22
value,22
Contexto:,21
Objetivo:,21
return,21
Titulo:,21
Descrever,21
Java,21
an,21
Web,20
PM,19
occurs,19
\projeto,\,19
Generated,19
subject,19
3.2.1.GA,19
//,19
2009,19
operações,19
may,19
should,19
during,18
Episódios:,18
temporal:,18
being,18
mensageira,18
it,18
apagar,18
apoio,18
Pre-condições:,17
NOT,17
geográfica:,17
servlet,17
generated,17
modified,17
<code>init()</code>,17
controle,17
Pos-condições:,17
hbm2java,17
all,17
our,17
\jogadores,\,17
so,17
initialiation,16
\Initialization"\>\,16
superclass,16
inherited,16
Initialize,16
<p>Automatically,16
uma,16
replaced.</p>,16
*Note*,16
\Definition"\>\,16
disponíveis,16
*after*,16
\generated,\,16
inserted,16
user-specified,16
initializations,16
<strong>WARNING:</strong>,16
*before*,16
logic,16
@episodio1,15
instance.</p>,15
<p>Construct,15
either,15
AM,15
Created,15
constructor,15
execution,15
material,15
módulos,14
simules,14
has,14
\simules,\,14
TODO:,14
then,14
todas,14
needed,14
release,14
current,14
different,14
\request,\,14
web,14
tabuleiro,14
\jogador,\,14
same,14
directly,14
completed,14
\2009,\,14
dado,14
been,14
+,13
view,13
Controlador,13
todos,13
submit,13
response,13
acquire,13
Serviços,13
individual,13
\URL,\,13
\to,\,13
were,13
indirectly,13
atualizar,13
especifico,13
whenever,13
name,12
performing,12
rendered.</p>,12
\Instead,\,12
\<code>init()</code>,\,12
back,12
especifica,12
<code>prerender()</code>,12
handlers.</p>,12
<p>Note,12
but,12
@throws,12
rendered),12
have,12
se,12
saved,12
submitted,12
null,12
\methods,\,12
handler).</p>,12
just,12
page.</p>,12
Page,12
action,12
\that,\,12
\example,\,12
<strong>not</strong>,12
case,12
\<code>preprocess()</code>,\,12
they,12
tree,12
\not,\,12
\postback,\,12
Process,12
(regardless,12
post,12
@episodio2,12
processing.</p>,12
\restored,\,12
error,12
rendered,12
estado,12
form,12
handled,12
(or,12
em,12
binding,12
Return,12
page),12
button,11
relação,11
player,11
click,11
card,11
identificador,11
@episodio3,11
defined,11
well,10
@episodio5,10
JSP,10
carta,10
@episodio4,10
contains,10
similarly,10
behavior,10
SimulES,10
respond,10
\11,\,10
using,10
incoming,10
definitions,10
corresponds,10
code),10
events.</p>,10
int,10
named,10
The,9
adicionar,9
@episodio6,9
<p>Page,9
License,9
cardsConceptbyPlayer,9
file,9
variable,9
com,9
hibernate,9
scope,9
criar,9
\page,\,9
HTTP,9
2,9
objeto,9
database,8
escolhido,8
Create,8
rodada,8
ou,8
FacesMessage,8
<p>This,8
fm);,8
\FacesContext.getCurrentInstance().addMessage(null,\,8
Dec,8
disponibiliza,8
customize,8
problemas,8
dados,8
entre,8
10:09:42,8
<p>You,8
disponível,8
fm,8
Nov,7
fm.setSeverity(FacesMessage.SEVERITY_ERROR);,7
\disponíveis,\,7
Query,7
username,7
simules_,7
result,7
Version,7
into,7
Entity,7
TreatmentProblemsbyPlayer,7
String,7
q,7
cardsbyPlayer,7
containing,6
idPlayer,6
problemsBysPlayerToSolve,6
playerList,6
servlet-specific,6
IOException,6
Card,6
registrado,6
já,6
softEngbyPlayer,6
acceptmoveList,6
reiniciar,6
que,6
ações,6
sistema,6
ServletException,6
lifetime,6
próximo,6
\Typically,\,6
@episodio7,6
GPL,6
\session.createQuery("\from\,6
na,6
esta,6
allCardsToSubmitProblems,6
I/O,6
pagina,6
cardsProblemsSubmitbyPlayers,6
expression,6
cardsToDiscard,6
Playercard,6
at,6
da,6
–,6
Restrição:,6
habilitar,6
time,6
table,6
each,6
\10,\,5
1-,5
estados,5
conceitos,5
\dado,\,5
receber,5
das,5
references,5
else,5
inicio,5
0),5
deve,5
base,5
>,5
which,5
lançamento,5
Sep,5
sourceofcardsController,5
joga,5
@episodio8,5
@episodio,5
application.</p>,5
Sun,5
rondas,5
repositório,5
valor,5
principal,4
implementation,4
tabuleiros,4
@Episode,4
update,4
If,4
******************************************************************,4
nos,4
sobre,4
1,4
relações,4
first,4
x,4
made,4
monte,4
true,4
Handles,4
Jun,4
foi,4
Get,4
fechar,4
primeiro,4
configuração,4
description,4
\"\\,4
3-,4
fields,4
\15,\,4
*********************************************************************,4
card.cardId,4
provider,4
user,4
ser,4
added,4
O,4
<code>POST</code>,4
2-,4
validar,4
10:56:26,4
não,4
nome,4
<code>GET</code>,4
ordem,4
only,4
(select,4
3,4
individuais,4
array,4
modulesProject,3
tipos,3
execução,3
evaluating,3
playersproblemsList,3
random,3
RowIdProblem,3
\Microsystems,\,3
store,3
created,3
starGame,3
mensagem,3
softEngListbyPlayer,3
List<Cards>,3
default,3
onde,3
administrador,3
instantiate,3
include,3
cardproblem,3
catch,3
ex),3
under,3
à,3
\25,\,3
class.</p>,3
available,3
\method,\,3
later,3
sourceofcardsList,3
Cards,3
option,3
up,3
então,3
facility,3
@episodio9,3
materiais,3
scope.</p>,3
ronda,3
mensagens,3
limit,3
projectChoose,3
projectList,3
softEngByPlayer,3
properties,3
selectedRowKeys,3
cardList.get(rowId);,3
evaluates,3
allocated,3
quantidade,3
cards,3
cardList,3
1:59:10,3
rowId,3
Jul,3
artefato,3
<p>The,3
getTableRowGroup1().getSelectedRowKeys();,3
utilizes,3
removed,3
indicate,3
valida,3
closeEntryPlayer,3
can,3
separate,3
tipo,3
softengineerList,3
\expression,\,3
Se,3
RowKey[],3
executada,3
instance,3
@episodio11,3
\"\')"\);\,3
cardsProblemsbyPlayer,3
get,3
estar,3
clean,3
sourcePlayerCardsId,3
projectGame,3
ativo,3
Oct,3
until,3
\23,\,3
Maximo,3
\"\elizabeth"\;\,3
enviar,3
Add,3
entrada,3
Inc,3
(Exception,3
Objeto,3
Integer.parseInt(selectedRowKeys[0].getRowId());,3
camada,3
\playerCard.player.playerId='"\\,3
Banco,3
Exceção:,3
erro,3
allCard,3
getSessionBean1().getAllCard();,3
between,3
jogadores;,3
initially,3
try,3
\automatically,\,3
Aug,3
<p>An,3
playerCard,3
playerCard.card.cardId,3
es:,3
Atualizar,3
disponibilizar,3
moveId,3
playersproblems,3
problem,3
gerais,3
requests,3
10:13:18,3
getApplicationBean1().getSourcePlayerCardsId();,2
encoding,2
\FacesMessage("\Delete"\);\,2
especificados,2
\5,\,2
aceitado,2
(getTableRowGroup1().getSelectedRowsCount(),2
initialize,2
Navigate,2
Episode,2
Click,2
Original,2
request.</p>,2
4-,2
list,2
cardController,2
Tabuleiro,2
\software,\,2
exception,2
methods.</p>,2
Move,2
3;,2
\cartas,\,2
artefatos,2
copyright,2
query,2
próprio,2
he,2
PlayDiceRound,2
igual,2
\license,\,2
ao,2
lança,2
Informações,2
2:,2
realizado,2
\2,\,2
Processes,2
fecha,2
Software,2
trocadas,2
inspecionar,2
avaliação,2
empregar,2
submetidas,2
lancamento,2
4,2
Cada,2
selected,2
\relação,\,2
seus,2
getSessionBean1().getUsername();,2
sign,2
organizados,2
next,2
livres,2
Copyright,2
buys,2
edit,2
particular,2
rango,2
boolean,2
anuncia,2
1997-2007,2
contratado,2
0;,2
entra,2
Adiciona,2
itself.</p>,2
el,2
projetos,2
apaga,2
@,2
Override,2
playerDelete,2
3:,2
\3,\,2
modules,2
aceitados,2
Replace,2
users,2
3:36:06,2
\1,\,2
IndividualBoardPage,2
version,2
its,2
\FacesMessage("\El\,2
jogo;,2
pega,2
treatment,2
project,2
\24,\,2
PlayerController,2
existe,2
conectar,2
Update,2
PlayRoundConcept.java,2
provided,2
escolhido;,2
single,2
cached,2
A,2
\key,\,2
left,2
pode,2
qual,2
engineer,2
banco,2
addUpdatePanel.setRendered(true);,2
atualiza,2
registra,2
registered,2
PlayerProblems,2
does,2
RoundController,2
\desc="\HttpServlet\,2
especificando,2
CardsController,2
cache,2
through,2
refreshTables();,2
some,2
dentro,2
getSessionBean1().getAllCards();,2
8:05:35,2
rows,2
especificado,2
aceita,2
chooses,2
Ubicação:,2
Individual,2
configuration,2
regras,2
contents,2
seu,2
ex.printStackTrace();,2
baseando-se,2
\code."\>\,2
SoftEngineerController,2
about,2
parametros,2
short,2
value);,2
jogadas,2
@episodio10,2
container,2
All,2
arranjo,2
across,2
aceitação,2
excecao,2
CardsController();,2
5,2
OR,2
MaxTrip,2
3:17:36,2
both,2
MoveController,2
pages,2
serialized,2
conceito,2
nothing.</p>,2
nbbuild/licenses/CDDL-GPL-2-CP,2
fragment,2
cenário,2
output,2
\"\Elizabeth"\;\,2
helper.deletePlayers();,2
definida,2
Aceitar,2
aceptar,2
ultimo,2
movimentos;,2
You,2
Returns,2
FacesMessage(ex.toString());,2
choice,2
\2010,\,1
http://www.netbeans.org/cddl-gplv2.html,1
\null"\);\,1
ModulesprojectId,1
jogou,1
\out.println("\<h1>Servlet\,1
projectList.size();,1
addRequest,1
tirar,1
<p>Application,1
tiene,1
Pré-condição:,1
\"\,"\\,1
\out.println("\<title>Servlet\,1
AcceptmoveId,1
uses,1
When,1
\FacesMessage("\Card\,1
@idplayer,1
vector),1
playercard.getCardsByPlayer(5);,1
sido,1
Index.java,1
(such,1
updateRecordButton.setRendered(false);,1
distribute,1
reacquire,1
la,1
know,1
CardPage.java,1
\"\Y"\),\,1
correct,1
10:39:21,1
\card"\);\,1
8:33:45,1
card.setSourceofcards(getSourceofcards());,1
CardController,1
compra,1
nem,1
três,1
9-,1
2;,1
diferentes,1
card.cardtype=1,1
\"\Classpath"\\,1
novos,1
BeginningRoundPage.java,1
:,1
};,1
request.getContextPath,1
default.</p>,1
\sourceofcardsDataProvider.setValue("\sourceofcards.sourceofcards_id"\,\,1
textFieldReference.getText());,1
inspect,1
lists,1
enclosed,1
accompanied,1
throws,1
Refresh,1
\CDDL,\,1
down,1
projectHelper.getSumModulesByProject();,1
card.setReference((String),1
numCard,1
card.setDescription((String),1
RequestBean1.java,1
maxCard.refresh();,1
\"\T"\),\,1
5:,1
column,1
Softwareengineerstatus,1
6,1
shut,1
dropDownType.setValue(card.getCardtype());,1
\Description"\,\,1
episodio5,1
Player,1
trocar,1
SourceofcardsController,1
\therefore,\,1
\"\</h1>"\);\,1
newCardId,1
Poscondições:,1
Arrays.sort(authors);,1
addRecordButton.setRendered(true);,1
card.setCardtype(getTypeCard());,1
specific,1
based,1
index,1
PlayerCardController,1
Restrições:,1
valueDice,1
\"\UTF-8"\\,1
dice,1
isn't,1
(addRequest),1
applies,1
têm,1
dropdown,1
allows,1
[],1
<,1
Sourceofcards,1
(Person,1
extend,1
\"\+\,1
\textFieldReference.setText("\"\);\,1
RoundController();,1
\"\License"\)\,1
<code>AbstractApplicationBean</code>.</p>,1
\getSessionBean1().setUsername("\Bertha"\);\,1
jogada,1
afetados,1
dimention,1
habilidade,1
dinâmica,1
PlayerController();,1
playercard.card.cardId,1
Distribution,1
lo,1
Acceptmove,1
license,1
SupportMaterialPage.java,1
\System.out.println("\Value\,1
textFieldName.getText());,1
eposidio4,1
es,1
Portions,1
recipient,1
(!CardProblemToSolve.equals(null)),1
aceitar,1
getSessionBean1().getSourceofcardsDataProvider();,1
getcardsByPlayer();,1
brackets,1
updateRecordButton.setRendered(true);,1
holder,1
Project,1
hacer,1
fields.length;,1
MAXVAL,1
maximo,1
<code>Locale</code>,1
puede,1
except,1
\move1.state='A'"\);\,1
textFieldConstraint.getText());,1
fm.setSeverity(FacesMessage.SEVERITY_INFO);,1
\(row,\,1
[year],1
distributing,1
controladas,1
playercard.getId());,1
\components),\,1
terminated,1
cadastram,1
(jsfUtils.returnDimArray(fields),1
standard,1
\Acceptmove"\);\,1
\"\Portions\,1
apresentar,1
PlayActionPage.java,1
\Person("\O"\,\,1
Factory,1
somente,1
moveController,1
\License("\CDDL"\)\,1
Jogada,1
sourceofcardsDataProvider.commitChanges();,1
jogares,1
designates,1
transtations,1
one,1
episodio2,1
terms,1
5;,1
licensees,1
\column,\,1
PlayersproblemsId,1
9:36:16,1
client.</p>,1
jogam,1
totalEng,1
adequado,1
sourceCardId,1
cardController.updateCard(card)),1
occur,1
maxCard.cursorFirst();,1
obtain,1
buy,1
número,1
textFieldDescription.setText(card.getDescription());,1
(hibernate.cfg.xml),1
container.</p>,1
PlayercardId,1
@eposodio2,1
above,1
Ubicação,1
seguinte,1
10:13:17,1
\Person("\A"\,\,1
descrição),1
parameter,1
6-,1
show,1
\"\D"\),\,1
Habilidades,1
Developer,1
adding,1
copy,1
cadastraram,1
pude,1
governing,1
addRecordButton.setRendered(false);,1
Notice,1
textFieldDescription.getText());,1
Modulesproject,1
integra,1
THIS,1
entryList,1
Faces,1
playerControler,1
compliance,1
\out.println("\<head>"\);\,1
mínimo,1
ALTER,1
pelos,1
imove,1
pos-condição:,1
repetir,1
construção,1
cadastrados,1
maior,1
\7,\,1
(int,1
ModulesProjectController,1
ex);,1
unico,1
\Header,\,1
primerio,1
\"\[Contributor]\,1
if(cardController.deleteCard(card)),1
\fragment,\,1
episodio3,1
dropDownSource.setValue(card.getSourceofcards());,1
preparativos,1
sequence,1
@episodio13,1
UnderConstructionPage.java,1
\"\F"\),\,1
(updateRequest),1
CardtypeController,1
INSPECIONA,1
custo,1
<p>Fragment,1
MoveController();,1
Header,1
Integer(0))),1
newCard.setCardtype(getTypeCard());,1
problems,1
lblResultDice.setText(username);,1
\applicable,\,1
following,1
roundController,1
permissions,1
out,1
\playercard)"\);\,1
sourceofcardsDataProvider.cursorFirst();,1
\ações,\,1
(),1
convenient,1
ServletSubmitInspect,1
COPYRIGHT,1
distributed,1
corresponding,1
NetBeans,1
authors,1
person,1
identifying,1
textFieldReference.setText(card.getReference());,1
replaced,1
CardType,1
\is:\n"\);\,1
card.setName((String),1
cast,1
8-,1
messagem,1
serem,1
Tipo,1
\System.out.println("\\nThe\,1
ascending,1
playerDelete);,1
deleted:,1
Initial,1
section,1
será,1
5-,1
user.</p>,1
serão,1
Session,1
randomly,1
Copyrighted,1
sent,1
emonsalve,1
executar,1
HEADER,1
linked,1
addUpdatePanel.setRendered(false);,1
playerDataProvider4.refresh();,1
distribution,1
@bPlayerDelete,1
options,1
é,1
below,1
generate,1
\engenheiro,\,1
JavaServer,1
\6,\,1
primeiros,1
newly,1
limitations,1
nas,1
ProjectController,1
Public,1
valid,1
\System.out.println("\Move\,1
Id:,1
could,1
rights,1
7-,1
AdminPage.java,1
episodio1,1
\maxCard.getValue("\maxcard"\).toString();\,1
Log,1
escolhe,1
\("\GPL"\)\,1
card.setConstraint((String),1
Individualboard,1
\(sourceofcardsDataProvider.getValue("\sourceofcards.sourceofcards_id"\).equals\,1
Integer(newCardId));,1
Retrieve,1
\"\+result);\,1
owning,1
siguiente,1
sucessful,1
maxCardId,1
acordo,1
[name,1
\session.load(Playercard.class,\,1
appropriate,1
necessárias,1
tabProblemsByPlayer.setDisabled(true);,1
vector,1
textFieldConstraint.setText(card.getConstraint());,1
Os,1
executados,1
Development,1
\Person("\C"\,\,1
CachedRowSetDataProvider,1
@eposidio1,1
divided,1
\instance,\,1
geografica:,1
(sourceofcardsDataProvider.cursorNext());,1
feitos,1
\log("\Error\,1
PlayerSoftengineerController,1
\ServletSubmitInspect</title>"\);\,1
0,1
wish,1
Todos,1
returns,1
mismo,1
session.</p>,1
Integer.parseInt(maxCardId);,1
Playersproblems,1
5:32:32,1
general,1
2],1
\21,\,1
Softengineer,1
Common,1
Contributor(s):,1
System.out.println(fields[x]);,1
ManageCardsPage.java,1
\System.out.println("\Players\,1
wide,1
\System.out.println("\Vacio"\);\,1
move1,1
1);,1
delete,1
tratado,1
Playersoftengineer,1
cadastrar,1
PlayStartRoundPage,1
usa,1
authors),1
\"\B"\),\,1
elects,1
source,1
CORRIGE,1
2:39:00,1
\1,ou\,1
tratados,1
PlayersoftengineerId,1
newCardId++;,1
menos,1
pegar,1
configuração),1
result:,1
(new,1
register,1
complete.</p>,1
maxCard,1
\Person("\X"\,\,1
IndividualboardController,1
playerSoftEngineer,1
TestingPage.java,1
<p>Session,1
mean,1
Min(move1.moveId),1
Carta,1
\variable,\,1
informa,1
aqui,1
elected,1
getSessionBean1().getcardsByPlayer();,1
such,1
\arrays,\,1
3:41:41,1
passivated,1
10:09:03,1
usou,1
\out.println("\</html>"\);\,1
escolha,1
jogaodor,1
more,1
SDsituations,1
DO,1
built,1
reactivated.</p>,1
multiple,1
decision,1
\Person("\E"\,\,1
suitable,1
\(jogador,\,1
qualidade,1
\found,\,1
Person[],1
10:14:13,1
\textFieldDescription.setText("\"\);\,1
\out.println("\<body>"\);\,1
\:"\+ex.getMessage());\,1
\4,\,1
tempo,1
row,1
Movimentos,1
Reserved,1
Table,1
\license."\\,1
\superclass,\,1
purpose,1
ApplicationBean1.java,1
\error("\Error\,1
See,1
<code>activate()</code>,1
mostrados,1
\textFieldName.setText("\"\);\,1
\owner]"\\,1
String[],1
transfer,1
governed,1
cenários,1
SourceCardsPage.java,1
Pre-condição:,1
Jan,1
podem,1
value=decimal,1
Utility,1
game,1
(Playercard),1
AcceptmoveController,1
textFieldName.setText(card.getName());,1
@episodio12,1
size,1
ativada,1
length,1
\"\R"\)\,1
GNU,1
General,1
\However,\,1
concepto,1
tem,1
false;,1
timing,1
\out.println("\<html>"\);\,1
Rights,1
chose,1
\"\);\,1
acorde,1
SessionBean1.java,1
SessionFactory,1
User,1
\desc="\Visual-Web-managed\,1
language,1
space,1
\Person("\Z"\,\,1
\FacesMessage("\el\,1
Round,1
módulo,1
entries,1
x++),1
\out.println("\</head>"\);\,1
NOTICES,1
use,1
resposta,1
ex,1
\carta(identificador,\,1
pelo,1
(sourceofcardsDataProvider.getRowCount(),1
pc,1
character,1
\textFieldConstraint.setText("\"\);\,1
Precondições:,1
cada,1
playercard,1
3:15:12,1
object,1
if(,1
classes,1
[CDDL,1
information:,1
artefacts,1
CONSTRÓI,1
playersproblemsController.getCardsProblemsByPlayer(23);,1
CDDL,1
executado,1
move.getMoveId());,1
\(collectively,\,1
Integer.parseInt(q.uniqueResult().toString());,1
playerProblems,1
System.out.println(person);,1
dessas,1
\out.println("\</body>"\);\,1
(value,1
newCard.setSourceofcards(getSourceofcards());,1
config,1
resultado,1
other.</p>,1
playerId,1
REMOVE,1
gets,1
jugada,1
ter,1
transferred,1
\configuration,\,1
compound,1
<p>Request,1
\session.createQuery("\select\,1
construídos,1
while,1
4:,1
jugador,1
\jsfUtils.returnValueConfiguration(configuration,\,1
reserved,1
sizeProject,1
